comic_no,Book Title,Vol,Issue,Year,Month,genre,link
3451,Blue Bolt,10,2,1949,Sep,superhero|vigilante,
3452,Dick Cole - Blue Bolt,3,1,1949,Jun,superhero|vigilante,
3453,Dick Cole - Blue Bolt,5,3,,Dec,superhero|vigilante,
3454,Dick Cole - Blue Bolt,2,7,,Dec,superhero|vigilante,
3455,Dick Cole - Blue Bolt,5,7,,,superhero|vigilante,
3456,Blue Bolt,8,7,,Dec,superhero|vigilante,
3457,Dick Cole - Blue Bolt,,,,,superhero,
3458,Lightning Man - Blue Bolt,1,2,,July,superhero,
3459,Barb Riders,,,,,western,
3460,Straight Arrow,,1,,,western,
3461,Boy - Crimebuster,,34,,Jun,adventure|detective|romance|superhero,
3462,Boy - Detective,,,1952,Jun,detective|thriller|short story,
3463,Brenda Starr - Silver lining in sun valley,,,1948,Jun,romance|adventure|female,
3464,Brenda Starr - Shopping for Trouble,,9,1949,Jul,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=18306
3465,Brenda Starr -The Great Penicillin Plot,,10,1949,Aug,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=19525
3466,Brenda Starr - Assignment Preferred,,13,1947,Sep,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=18751
3467,Broncho Bill - Justice on the Range,,13,1950,Jan,Western,https://digitalcomicmuseum.com/index.php?dlid=16452
3468,Black Terror - The Dream Maker,,22,1948,Mar,Superhero,https://digitalcomicmuseum.com/index.php?dlid=10115
3469,Buster Crabbe and the Maid of mars,,2,1952,July,Western,https://digitalcomicmuseum.com/index.php?dlid=14737
3470,Captain Marvel Jr - Bird of Doom,,18,1944,Apr,superhero|humour,https://digitalcomicmuseum.com/index.php?dlid=21150
3471,Captain Marvel Jr - The hunt for treasure,,50,1947,Jun,superhero|humour,https://www.mycomicshop.com/search?IID=7044521
3472,Captain Marvel Jr - The acrobat death trap,,47,1947,Mar,superhero|humour,https://comicvine.gamespot.com/captain-marvel-jr-47-the-acrobats-death-trap/4000-220277/
3473,Captain Marvel Jr - Voodoo Clock,,78,1949,,superhero|humour,https://www.abebooks.com/comics/Captain-Marvel-%2378-1949--Fawcett-Golden/22845815226/bd
3474,Captain Marvel Jr - Keep the Liberty Bell Ringing,,21,1944,Jul,superhero|humour,https://digitalcomicmuseum.com/index.php?dlid=18430
3475,Captain Marvel Jr - Irresistible Sword,,77,1949,Sep,superhero|humour,https://comicvine.gamespot.com/captain-marvel-jr-77-the-irresistible-sword/4000-220293/
3476,Captain Science - Space Pirates,,2,1951,Feb,scifi|adventure|superhero,https://digitalcomicmuseum.com/index.php?dlid=12232
3477,Captain Science - Mental Monsters,,3,1951,Apr,scifi|adventure|superhero,https://digitalcomicmuseum.com/index.php?dlid=9551
3478,Captain Science - Martian Salvers,,4,1951,Jun,scifi|adventure|superhero,https://digitalcomicmuseum.com/index.php?dlid=12233
3479,Captain Science - Spawn of Pathor,,5,1951,Oct,scifi|adventure|superhero,https://digitalcomicmuseum.com/index.php?dlid=20944
3480,Captain Steven Savage - Fight to Kill,,7,1952,Oct,war,https://digitalcomicmuseum.com/index.php?dlid=2916
3481,CatMan and the Kitten,,8,1943,Jul,adventure|crime|superhero,https://digitalcomicmuseum.com/index.php?dlid=12792
3482,Catman - Deacon,2,15,1942,May,adventure|crime|superhero,https://digitalcomicmuseum.com/index.php?dlid=18739
3483,Catman -The Story of Rosetta,,27,1945,Apr,adventure|crime|superhero,https://digitalcomicmuseum.com/index.php?dlid=18653
3484,Catman - The Blitzkrieg Crime,1,10,1941,Dec,adventure|crime|superhero,https://digitalcomicmuseum.com/index.php?dlid=18615
3485,Cowgirl Romances -  Ride Fast for Wyoming,,1,1950,,romance|western|female,https://digitalcomicmuseum.com/index.php?dlid=9064
3486,"Champion Comics - Neptina, Scrab",,2,1939,Dec,adventure|superhero|children,https://digitalcomicmuseum.com/index.php?dlid=16935
3487,Charlie Chan - The Antique Burglar,1,5,1949,Dec,detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=20065
3488,Charlie Chan - The secret of smuggled silk,1,3,1948,Nov,detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=23088
3489,Charlie Chan - The hit and run murder case,1,1,1948,Jun,detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=14493
3490,Champion Comics - Human Meteor,,25,1943,Apr,adventure|superhero|children,https://digitalcomicmuseum.com/index.php?dlid=10432
3491,Cinderella Love - yesterdays love,,13,1953,,romance|female,https://digitalcomicmuseum.com/index.php?dlid=4879
3492,Cow Puncher - Devils Scourge,,4,1948,May,western,https://digitalcomicmuseum.com/index.php?dlid=27548
3493,Cowgirl Romances -  Love is where you find it,,11,1952,Sep,romance|western|female,https://digitalcomicmuseum.com/index.php?dlid=19396
3494,Crack Comics - Black Condor and The Clock,,9,1941,Jan,detective|mystery|superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=5913
3495,Crack Comics - Spitfire,,25,1942,Sep,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=24589
3496,Crack Comics - dairy of a dictator,,32,1943,Dec,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=21449
3497,Crack Comics - Captain Triumph,,33,1944,Apr,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=31418
3498,Crack Comics - Crime over the city,,39,1945,Sep,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=21510
3499,Crack Comics - Werewolves war,,51,1947,Nov,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=13433
3500,Crack Comics - The man who robbed the dead,,53,1948,Mar,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=13570
3501,Crack Western - War of renegade rails,,63,1949,Nov,western|adventure,https://digitalcomicmuseum.com/index.php?dlid=19493
3502,Crack Western - Mexican Massacare,,80,1952,Sep,western|adventure,https://digitalcomicmuseum.com/index.php?dlid=19566
3503,Crackajack Funnies - Ellery Queen,,25,1940,Jul,detective|mystery|humor|adventure|superhero|aviation,https://digitalcomicmuseum.com/index.php?dlid=18880
3504,Crackajack Funnies - Kidnapping of Bell Wayne,,27,1940,Sep,detective|mystery|humor|adventure|superhero|aviation,https://digitalcomicmuseum.com/index.php?dlid=23070
3505,Crash Comics - Strongman - Illegal Raider Ship,,1,1940,May,superhero|detective|jungle,https://digitalcomicmuseum.com/index.php?dlid=22427
3506,Crimes by Women - Belle Gunness,,2,1948,Aug,non-finction|crime|Female,https://digitalcomicmuseum.com/index.php?dlid=22087
3507,Daredevil - Criminals have no conscience,,36,1946,May,superhero|detective|crime,https://digitalcomicmuseum.com/index.php?dlid=24344
3508,Dollman - Wanted for Sabotage,,4,1942,Oct,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=21086
3509,Dollman - Robe of Lucifer,,14,1947,Sep,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=984
3510,Dollman - Redskins scalp crime,,18,1948,Sep,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=985
3511,Dollman - Silver Dollar,,17,1948,Jul,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=16789
3512,Dollman - Black heart of Nemo,,20,1949,Jan,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=13814
3513,Dollman - Past life of Paul Parr,,32,1951,Feb,superhero|humor|history,https://digitalcomicmuseum.com/index.php?dlid=16597
