comic_no,vw_0,vw_1,vw_2,vw_3,vw_4,vw_5,vw_6,vw_7,vw_8,vw_9,vw_10,vw_11,vw_12,vw_13,vw_14,vw_15,vw_16,vw_17,vw_18,vw_19,vw_20,vw_21,vw_22,vw_23,vw_24,vw_25,vw_26,vw_27,vw_28,vw_29,vw_30,vw_31,vw_32,vw_33,vw_34,vw_35,vw_36,vw_37,vw_38,vw_39,vw_40,vw_41,vw_42,vw_43,vw_44,vw_45,vw_46,vw_47,vw_48,vw_49,vw_50,vw_51,vw_52,vw_53,vw_54,vw_55,vw_56,vw_57,vw_58,vw_59,vw_60,vw_61,vw_62,vw_63
0,0,0,0.273426067345554,0.27822491228370594,0,0,0,0,0,0,0,0.2679614006218302,0,0,0,0,0,0.5464236912032676,0,0.2414168783135294,0,0,0,0.24023137104459097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2364061812742127,0,0,0,0.26171608089382553,0,0,0.4331488916931367,0,0,0,0.22237929009367408,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5026374118046087,0,0,0,0,0,0,0.4824673803956478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5579039287268694,0,0.4509146986067871,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0.13962626784159085,0,0,0,0,0,0,0,0,0,0,0.6819456157035156,0,0,0,0,0,0.12496678731644449,0.13091604685751948,0,0,0.3279856028895961,0.2756878917739152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1357193675792156,0,0.16734738007783853,0,0,0,0.30277104667803945,0.136293091507489,0,0,0.1484156264988518,0.1501152234189166,0,0,0,0,0,0,0,0.3128702919348986
3,0,0,0,0,0,0,0,0,0,0,0,0,0.49261936764054,0,0,0,0,0,0,0.40799105869289004,0,0,0,0,0,0,0,0,0.3693945955797178,0,0,0,0,0,0,0,0,0,0,0.4514619629170529,0,0,0,0,0,0,0.5005988248564586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0.20628702100680402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18416874686391585,0.17899607996741082,0.40609474312235494,0.4029302860453529,0,0.17811709770488127,0,0,0.17181325499212424,0,0,0,0.3618107572339381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17811709770488127,0.17528094979835449,0,0,0,0,0,0,0.16057691201401608,0.22075628526165633,0,0.19701011280568317,0.3297617090467746,0.2286316618916581,0,0,0.18781391302779474,0,0,0
5,0,0.19691254622821938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3625394922649485,0.17617850219926687,0.19985120234844947,0,0,0.17531335599885636,0,0,0,0.2017522791031863,0,0.21183511899405957,0.17805774657373302,0.17605445484920101,0,0,0,0,0,0.17482229660370455,0,0.1949500870962431,0,0.226044940333187,0,0,0.3506267119977127,0,0,0,0,0,0,0.17605445484920101,0.4741478112520148,0.21728135999153572,0,0,0,0,0,0,0.18485753372612745,0,0,0
6,0.20780769394715776,0,0,0,0,0.4430856731953203,0,0,0,0,0,0,0,0,0,0,0,0.25496917625614834,0,0.22529719552380675,0,0,0,0,0.25882161117666624,0.20642897371639943,0,0,0,0,0.4554007491672011,0,0,0,0.23831295330339425,0,0,0.2235628788312497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20211352086156079,0,0,0,0,0.28777206875991934,0,0.21318542982016786,0,0.22770037458360054,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4530048888080356,0,0,0,0,0,0,0,0,0,0,0.4031182725095754,0,0,0,0,0.4446574528730128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5111222568114738,0,0,0,0,0,0,0,0,0,0,0,0.41631240346805104,0,0,0,0
8,0,0,0,0,0,0,0,0,0.24551690773055987,0,0,0,0,0,0,0,0,0,0,0.2398247570405478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253679793895005,0.28087227560110845,0,0,0,0,0,0,0,0,0,0,0.2942613299679062,0,0,0,0,0,0.21514615804488152,0,0,0.5279210857216106,0.22091271989815991,0,0,0,0.25163917594690427,0.24238289733519283,0.2843326138315981,0.2750734076906006
9,0,0,0,0,0,0,0,0,0,0,0,0.23076259696908039,0,0,0,0,0.23291153689470714,0,0,0.41580605014392463,0.4716769527932154,0,0,0.2068820917006965,0,0,0.19956021085392797,0,0,0,0.21012066562074547,0,0.1983374337624818,0,0,0,0,0,0,0,0,0,0,0,0.2068820917006965,0,0.25509385026368686,0.24152827782575254,0,0.2253842618954758,0.23076259696908039,0,0,0,0,0,0,0,0,0,0,0,0.24648668999678303,0
