comic_no,male_orientation_ratio,female_orientation_ratio,neutral_orientation_ratio,adj.all_ratio,adj.pert_ratio,adv.all_ratio,noun.Tops_ratio,noun.act_ratio,noun.animal_ratio,noun.artifact_ratio,noun.attribute_ratio,noun.body_ratio,noun.cognition_ratio,noun.communication_ratio,noun.event_ratio,noun.feeling_ratio,noun.food_ratio,noun.group_ratio,noun.location_ratio,noun.motive_ratio,noun.object_ratio,noun.person_ratio,noun.phenomenon_ratio,noun.plant_ratio,noun.possession_ratio,noun.process_ratio,noun.quantity_ratio,noun.relation_ratio,noun.shape_ratio,noun.state_ratio,noun.substance_ratio,noun.time_ratio,verb.body_ratio,verb.change_ratio,verb.cognition_ratio,verb.communication_ratio,verb.competition_ratio,verb.consumption_ratio,verb.contact_ratio,verb.creation_ratio,verb.emotion_ratio,verb.motion_ratio,verb.perception_ratio,verb.possession_ratio,verb.social_ratio,verb.stative_ratio,verb.weather_ratio,adj.ppl_ratio,adventure,children,crime,detective,female,humor,jungle,mystery,non fiction,romance,sports,spy,superhero,vigilante,war,western,panel_ratio,total_information_in_book
0,0.9999997500000620,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0222222222222222,0.1444444444444440,0.0,0.0222222222222222,0.0,0.0222222222222222,0.0222222222222222,0.0,0.0111111111111111,0.0111111111111111,0.0333333333333333,0.0,0.0222222222222222,0.1555555555555560,0.0222222222222222,0.0,0.0,0.0,0.0111111111111111,0.0,0.0,0.0,0.0333333333333333,0.0333333333333333,0.0111111111111111,0.0555555555555555,0.0222222222222222,0.0333333333333333,0.0,0.0111111111111111,0.0444444444444444,0.0,0.0111111111111111,0.0666666666666666,0.0111111111111111,0.0222222222222222,0.0444444444444444,0.0666666666666666,0.0,0.0,0.0263504703475951,5.85578274897568E-08,1.03087661435178E-09,0.0031256812869379,0.0002599916395424,3.91145455419005E-07,3.69649678912092E-06,1.28103566914094E-07,3.67925796882212E-10,0.0005370079001098,2.44087446871525E-06,6.14798502603355E-08,0.969719871804632,4.27755401377193E-11,9.77862994753565E-10,1.97943784055763E-07,0.3610824516732880,0.033856745613596
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,0.0,0.074074074074074,0.037037037037037,0.0,0.037037037037037,0.0,0.074074074074074,0.037037037037037,0.0,0.0,0.3333333333333330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,0.037037037037037,0.037037037037037,0.0,0.0,0.0,0.037037037037037,0.0,0.0,0.074074074074074,0.074074074074074,0.0,0.0,0.074074074074074,0.0,0.0,4.15126467112545E-06,3.92224569268665E-19,7.81999954983877E-14,0.999995309381302,7.3487099211618E-10,2.81197515785976E-10,2.7880322012967E-09,1.12354247049131E-12,1.51481387911993E-09,8.61513136900858E-08,3.3828786963784E-08,2.97253432371848E-15,1.40480511096678E-08,2.2466874168261E-10,3.30209580163268E-10,3.99450877507884E-07,0.43797952473024900,0.841248835025498
2,0.9999998750000160,0.0,0.0,0.0,0.0,0.0,0.0078740157480314,0.0236220472440944,0.0,0.1338582677165350,0.0157480314960629,0.0078740157480314,0.0236220472440944,0.0236220472440944,0.0236220472440944,0.0,0.0,0.0157480314960629,0.0314960629921259,0.0,0.0078740157480314,0.1889763779527560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314960629921259,0.0393700787401574,0.0157480314960629,0.0236220472440944,0.0708661417322834,0.0236220472440944,0.0078740157480314,0.0078740157480314,0.0551181102362204,0.0,0.0078740157480314,0.0629921259842519,0.0393700787401574,0.0393700787401574,0.0,0.0708661417322834,0.0,0.0,1.38036015169643E-09,2.55692412605389E-08,8.20851238353259E-07,1.42282371377882E-07,2.86297066906205E-08,3.47924446857607E-07,3.36456383603197E-06,3.08489738899284E-09,1.53511696037441E-06,6.83556021084324E-07,8.89152728077602E-07,3.51787098671882E-08,0.995727238054961,9.44430191928493E-09,3.84356223448964E-08,0.0042648367745973,0.4646898212717810,0.306402477231598
3,0.99999950000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.1176470588235290,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0294117647058823,0.0,0.0588235294117647,0.2647058823529410,0.0294117647058823,0.0,0.0294117647058823,0.0,0.0,0.0,0.0,0.0,0.088235294117647,0.0294117647058823,0.0,0.0,0.0,0.0294117647058823,0.0,0.0,0.0588235294117647,0.0,0.0,0.0588235294117647,0.0294117647058823,0.0,0.0,0.0588235294117647,0.0,0.0,9.22205805025124E-07,4.84298917833199E-05,2.22670524625078E-11,3.25254829436756E-11,5.75770484571121E-14,3.66473756024288E-11,1.477852560616E-12,2.45391338437363E-15,4.4429250730917E-09,1.46206771956413E-07,6.85617377670269E-09,3.93848722615998E-10,0.996855310147218,6.40059206941343E-10,0.0030951791169212,5.51574273835212E-12,0.48233288805480600,0.122632233841191
4,0.9999997500000620,0.0,0.0,0.0,0.0,0.0,0.0,0.0866141732283464,0.0078740157480314,0.1023622047244090,0.0,0.0078740157480314,0.0078740157480314,0.0157480314960629,0.0,0.0,0.0078740157480314,0.0157480314960629,0.0078740157480314,0.0,0.0078740157480314,0.1968503937007870,0.0078740157480314,0.0078740157480314,0.0,0.0,0.0078740157480314,0.0,0.0,0.0236220472440944,0.0078740157480314,0.0393700787401574,0.0078740157480314,0.0078740157480314,0.0708661417322834,0.0708661417322834,0.0157480314960629,0.0,0.0472440944881889,0.0,0.0157480314960629,0.0551181102362204,0.0314960629921259,0.0157480314960629,0.0393700787401574,0.0629921259842519,0.0,0.0,2.29028813571704E-07,1.61383600522459E-14,1.04700363059779E-10,2.77542755572071E-08,2.37181527474527E-10,1.02098144359189E-11,5.75358831214193E-12,1.51202868344558E-10,2.08687573588455E-10,2.14316335749239E-06,4.67109402404023E-10,8.07795301006433E-11,0.9999975887594120,2.42979644331972E-11,3.00581848237465E-09,6.99838433786113E-09,0.5367020487132080,0.50600811948863
5,0.9999999333333380,0.0,0.0,0.0,0.0,0.0,0.0,0.0349650349650349,0.0279720279720279,0.0769230769230769,0.0069930069930069,0.0,0.0069930069930069,0.0489510489510489,0.0209790209790209,0.0069930069930069,0.0139860139860139,0.0139860139860139,0.0699300699300699,0.0,0.0069930069930069,0.2517482517482520,0.0069930069930069,0.0,0.0069930069930069,0.0,0.0,0.0,0.0,0.0139860139860139,0.0069930069930069,0.0349650349650349,0.0,0.0,0.0139860139860139,0.0349650349650349,0.0069930069930069,0.0,0.0139860139860139,0.0,0.0209790209790209,0.0979020979020979,0.0069930069930069,0.0139860139860139,0.0559440559440559,0.0699300699300699,0.0069930069930069,0.0,0.9995504190656360,2.93676893963753E-07,7.5215632968433E-12,1.44024879983401E-07,1.06022787972801E-09,0.0004077006095965,3.67211712057471E-05,2.08473082675793E-07,7.2829008493749E-09,2.98809072505351E-09,4.72094536855039E-09,3.75968883751923E-12,7.10462522608805E-07,3.772422585927E-06,2.16276830917462E-11,1.40085222477898E-08,0.43975200443170800,0.578489696885364
6,0.99999980000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0352112676056338,0.0070422535211267,0.1267605633802820,0.0,0.0070422535211267,0.0140845070422535,0.0140845070422535,0.0070422535211267,0.0070422535211267,0.0,0.0352112676056338,0.0211267605633802,0.0,0.0,0.2535211267605630,0.0070422535211267,0.0,0.0,0.0,0.0211267605633802,0.0,0.0,0.0,0.0140845070422535,0.0352112676056338,0.0,0.0140845070422535,0.028169014084507,0.056338028169014,0.0,0.0,0.0422535211267605,0.0,0.0070422535211267,0.0492957746478873,0.028169014084507,0.0352112676056338,0.0704225352112676,0.0633802816901408,0.0,0.0,0.2190315997876710,8.21134712430841E-05,1.14540280802144E-06,0.0580883821675284,1.6890644058845E-05,0.0320020742544999,6.07198469613516E-06,6.44117944265811E-06,6.76896733964334E-07,0.3567326246198830,0.0105201536214255,0.0002465717060606,0.2906368831087900,0.0005177530256747,1.26425783892217E-05,0.0320979755510942,0.5293511443300880,0.156692021025009
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0909090909090909,0.0303030303030303,0.0,0.0606060606060606,0.1515151515151520,0.0,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0909090909090909,0.0909090909090909,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0303030303030303,0.0,0.0,0.0303030303030303,0.0,0.0909090909090909,0.0,0.0,0.0303030303030303,0.0303030303030303,0.0,0.0,0.0909090909090909,0.0,0.0303030303030303,0.0303030303030303,0.0,0.0,1.1071915337663E-05,1.98470402717158E-14,4.48278387476234E-15,4.57576238005319E-18,1.22969787155315E-08,1.63775035419489E-09,5.402971082653E-12,1.77023324158227E-16,5.83589709682377E-12,4.7255279113814E-11,2.13843389931072E-10,1.42233163799362E-11,0.999987170398773,1.2206117449463E-08,1.7312234606802E-06,3.49966720328213E-11,0.7466064776759380,0.888664148673852
8,0.99999950000025,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043,0.053763440860215,0.064516129032258,0.010752688172043,0.021505376344086,0.010752688172043,0.086021505376344,0.043010752688172,0.0,0.010752688172043,0.010752688172043,0.064516129032258,0.0,0.021505376344086,0.1612903225806450,0.010752688172043,0.0,0.010752688172043,0.0,0.0,0.0,0.0,0.0,0.021505376344086,0.021505376344086,0.0,0.010752688172043,0.021505376344086,0.032258064516129,0.010752688172043,0.010752688172043,0.010752688172043,0.0,0.0,0.1075268817204300,0.010752688172043,0.064516129032258,0.053763440860215,0.032258064516129,0.0,0.0,4.08021774366259E-21,4.44680178511152E-05,5.99666043140271E-16,2.34729630032404E-14,1.03481482120445E-11,2.63749540725411E-16,4.90900544158114E-12,5.037939243145E-14,1.89260205907248E-18,7.32761785370939E-11,1.64640159478074E-06,2.67088929527055E-10,0.993853420160328,2.45535894732914E-14,5.52557079491967E-07,0.0060999125074253,0.4630766911935970,0.0936647141224118
9,0.99999980000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0459770114942528,0.0114942528735632,0.0689655172413793,0.0229885057471264,0.0459770114942528,0.0,0.057471264367816,0.0,0.0,0.0,0.0114942528735632,0.0344827586206896,0.0,0.0229885057471264,0.1839080459770120,0.0,0.0,0.0,0.0,0.0114942528735632,0.0,0.0,0.0344827586206896,0.0,0.0114942528735632,0.0,0.0114942528735632,0.0689655172413793,0.0344827586206896,0.0229885057471264,0.0,0.0344827586206896,0.0,0.0,0.0804597701149425,0.0459770114942528,0.0229885057471264,0.0344827586206896,0.0804597701149425,0.0,0.0,6.02594891305982E-05,0.0008633833104537,4.83392416719924E-05,0.036588014510303,0.0004528746489362,4.10703882763848E-05,0.3132802155888280,2.95762133401392E-05,1.09491590392333E-05,8.44904513059787E-06,8.78560564711883E-05,2.57092192141823E-06,0.3177101449326930,3.29379417708523E-06,1.51358702050782E-06,0.3308114891126070,0.48148130573109300,0.0140031021281735
