comic_no,Book Title,Vol,Issue,Year,Month,genre,link,our_idx,img_folderpath,_old_comic_no
0,Blue Bolt,10,,1949,Sep,superhero|vigilante,,0,,3451
1,Dick Cole - Blue Bolt,3,,1949,Jun,superhero|vigilante,,1,,3452
2,Dick Cole - Blue Bolt,5,,,Dec,superhero|vigilante,,2,,3453
3,Dick Cole - Blue Bolt,2,,,Dec,superhero|vigilante,,3,,3454
4,Dick Cole - Blue Bolt,5,,,,superhero|vigilante,,4,,3455
5,Blue Bolt,8,,,Dec,superhero|vigilante,,5,,3456
6,Dick Cole - Blue Bolt,,,,,superhero,,6,,3457
7,Lightning Man - Blue Bolt,1,,,July,superhero,,7,,3458
8,Barb Riders,,,,,western,,8,,3459
9,Straight Arrow,,,,,western,,9,,3460
10,Boy - Crimebuster,,,,Jun,adventure|detective|romance|superhero,,10,,3461
11,Boy - Detective,,,1952,Jun,detective|thriller|short story,,11,,3462
12,Brenda Starr - Silver lining in sun valley,,,1948,Jun,romance|adventure|female,,12,,3463
13,Brenda Starr - Shopping for Trouble,,,1949,Jul,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=18306,13,,3464
14,Brenda Starr -The Great Penicillin Plot,,,1949,Aug,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=19525,14,,3465
15,Brenda Starr - Assignment Preferred,,,1947,Sep,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=18751,15,,3466
16,Broncho Bill - Justice on the Range,,,1950,Jan,Western,https://digitalcomicmuseum.com/index.php?dlid=16452,16,,3467
17,Black Terror - The Dream Maker,,,1948,Mar,Superhero,https://digitalcomicmuseum.com/index.php?dlid=10115,17,,3468
18,Buster Crabbe and the Maid of mars,,,1952,July,Western,https://digitalcomicmuseum.com/index.php?dlid=14737,18,,3469
19,Captain Marvel Jr - Bird of Doom,,,1944,Apr,superhero|humour,https://digitalcomicmuseum.com/index.php?dlid=21150,19,,3470
20,Captain Marvel Jr - The hunt for treasure,,,1947,Jun,superhero|humour,https://www.mycomicshop.com/search?IID=7044521,20,,3471
